loc,title,bedroom,bathroom,parking_space,predicted_price
Sokoto,Penthouse,2,4,4,1520111
Enugu,Flat,1,6,3,1357002
Lagos,Apartment,3,1,4,2968171
Yobe,Detached duplex,4,4,6,1779232
Kaduna,Penthouse,9,2,5,3580211
Katsina,Terrace duplex,1,5,5,1248431
Abia,Flat,9,6,1,2823739
Zamfara,Detached duplex,5,1,2,1761730
Imo,Cottage,2,1,1,1234371
Ekiti,Terrace duplex,9,6,6,3197107
Benue,Bungalow,6,1,4,1947999
Bayelsa,Detached duplex,4,7,5,2948717
Gombe,Terrace duplex,1,4,3,994058
Kwara,Penthouse,5,2,4,2178141
Niger,Detached duplex,1,6,1,1488206
Bauchi,Terrace duplex,3,6,5,1841699
Cross River,Mansion,2,6,4,3189701
Imo,Terrace duplex,2,2,1,1313240
Bayelsa,Bungalow,3,2,4,1938944
Rivers,Townhouse,6,3,6,3329451
Kano,Flat,8,7,2,2557477
Kebbi,Bungalow,2,2,4,817219
Jigawa,Apartment,5,1,2,1354900
Ogun,Flat,2,1,3,1686083
Taraba,Townhouse,5,2,4,1710989
Kebbi,Semi-detached duplex,1,7,5,1169419
Kogi,Penthouse,2,2,2,1570721
Plateau,Apartment,5,3,4,1686000
Nasarawa,Mansion,5,3,5,3603122
Kebbi,Penthouse,3,4,2,1773883
Anambra,Terrace duplex,1,6,6,1819212
Bauchi,Penthouse,3,1,2,1826601
Gombe,Mansion,4,1,5,2802677
Kogi,Semi-detached duplex,3,1,1,1074654
Zamfara,Bungalow,1,2,4,779070
Adamawa,Penthouse,3,1,3,1776931
Taraba,Flat,3,6,5,1631987
Ebonyi,Flat,2,2,1,915155
Oyo,Cottage,4,1,4,1510698
Yobe,Mansion,4,1,1,2645617
Niger,Terrace duplex,8,3,2,2610499
Sokoto,Bungalow,8,7,6,2300507
Yobe,Bungalow,2,6,1,1213239
Ekiti,Flat,4,2,4,1610645
Ondo,Mansion,7,2,1,4465588
Jigawa,Flat,5,2,4,1378044
Yobe,Townhouse,6,4,3,2021775
Benue,Flat,1,2,4,884302
Abia,Townhouse,9,7,1,2627473
Kogi,Bungalow,1,2,4,843463
Ekiti,Townhouse,7,1,5,2597613
Niger,Semi-detached duplex,7,2,6,2406881
Ekiti,Mansion,5,1,2,3135096
Rivers,Townhouse,8,6,4,4047514
Ogun,Semi-detached duplex,2,1,6,2057253
Ogun,Townhouse,8,1,4,3401172
Ondo,Townhouse,5,2,2,2333230
Imo,Cottage,1,1,3,1082124
Yobe,Mansion,5,6,1,2806725
Cross River,Flat,4,2,2,1884090
Abia,Terrace duplex,4,6,1,1996994
Akwa Ibom,Mansion,5,1,1,4268835
Nasarawa,Townhouse,9,4,2,2823420
Ondo,Bungalow,3,2,1,1457524
Enugu,Detached duplex,7,5,1,2963312
Ekiti,Mansion,5,1,1,2582671
Kwara,Terrace duplex,5,2,2,1576047
Yobe,Townhouse,4,1,4,1696665
Anambra,Flat,4,1,4,1886980
Abia,Bungalow,8,1,6,2308923
Zamfara,Penthouse,6,5,3,2398210
Lagos,Detached duplex,8,5,6,5045826
Taraba,Terrace duplex,7,1,5,2242762
Kebbi,Semi-detached duplex,6,7,5,2002603
Gombe,Semi-detached duplex,1,6,6,1215053
Ogun,Flat,3,2,1,1633499
Delta,Bungalow,7,5,2,3182342
Plateau,Semi-detached duplex,8,7,5,3010079
Rivers,Townhouse,8,1,2,3332816
Yobe,Terrace duplex,8,7,6,2339340
Oyo,Mansion,8,6,2,5415755
Abia,Terrace duplex,1,1,1,600735
Gombe,Semi-detached duplex,3,2,3,1203051
Kaduna,Semi-detached duplex,1,1,2,929509
Benue,Mansion,1,3,6,1971225
Cross River,Detached duplex,2,6,4,2282864
Sokoto,Bungalow,4,1,1,1340294
Kaduna,Flat,7,6,3,2291596
Benue,Mansion,1,2,2,2433951
Kebbi,Cottage,4,2,1,820456
Kebbi,Flat,3,1,1,846104
Enugu,Flat,9,2,6,2964181
Zamfara,Townhouse,5,3,2,1944498
Ogun,Apartment,4,2,2,1935673
Abia,Flat,9,1,2,2072023
Oyo,Terrace duplex,5,2,3,2092948
Osun,Penthouse,9,2,1,3809155
Katsina,Apartment,5,1,3,1480548
Osun,Detached duplex,1,1,1,1071286
Kogi,Townhouse,9,2,5,2957131
Enugu,Penthouse,9,7,1,3677256
Ebonyi,Detached duplex,2,6,2,1322461
Lagos,Penthouse,5,2,1,4263398
Borno,Bungalow,1,7,5,1187660
Kogi,Semi-detached duplex,1,2,4,982954
Adamawa,Cottage,4,2,3,1281487
Sokoto,Townhouse,7,3,6,2163851
Ogun,Detached duplex,4,3,6,2405062
Yobe,Penthouse,4,2,3,1776808
Bayelsa,Flat,5,1,4,2994887
Adamawa,Townhouse,4,6,5,2999661
Edo,Townhouse,4,5,4,2182032
Nasarawa,Penthouse,9,1,4,3440638
Kano,Detached duplex,1,1,2,1249476
Borno,Flat,9,7,6,2308406
Abia,Semi-detached duplex,7,2,6,2164734
Rivers,Townhouse,1,2,4,1952898
Osun,Mansion,2,1,4,2524206
Kano,Flat,1,2,4,1088188
Cross River,Bungalow,1,1,5,1104404
Akwa Ibom,Bungalow,4,1,5,2450362
Kebbi,Cottage,4,2,4,877594
Zamfara,Semi-detached duplex,5,2,1,1451390
Edo,Terrace duplex,2,3,5,1498037
Kaduna,Penthouse,1,4,4,1495877
Sokoto,Cottage,1,1,1,678769
Yobe,Cottage,1,2,1,733902
Gombe,Bungalow,2,1,3,1267500
Kaduna,Townhouse,1,1,1,942228
Oyo,Bungalow,7,4,2,2509120
Kaduna,Bungalow,8,7,3,2494678
Gombe,Detached duplex,1,2,1,1036558
Oyo,Detached duplex,4,6,5,2323715
Benue,Mansion,4,1,1,2455130
Bauchi,Semi-detached duplex,1,3,2,831127
Delta,Mansion,8,3,1,5771653
Ondo,Penthouse,8,6,5,4042110
Adamawa,Semi-detached duplex,5,2,3,1718018
Delta,Penthouse,3,6,3,3082088
Kebbi,Flat,6,2,2,1544917
Kwara,Mansion,5,2,3,3279168
Oyo,Mansion,9,6,5,5274087
Imo,Flat,1,4,3,1177205
Edo,Bungalow,8,3,3,2636721
Kebbi,Apartment,4,7,1,1622036
Rivers,Semi-detached duplex,4,3,3,2700145
Ebonyi,Mansion,2,2,3,1865984
Niger,Bungalow,4,7,4,1683910
Rivers,Cottage,1,2,2,1731923
Ondo,Apartment,5,2,3,1732448
Katsina,Semi-detached duplex,1,2,5,1135028
Osun,Townhouse,6,5,6,2647505
Ebonyi,Mansion,4,1,2,2121848
Niger,Semi-detached duplex,2,1,1,1138321
Sokoto,Detached duplex,1,2,4,1412241
Kaduna,Townhouse,4,2,2,1730521
Ondo,Cottage,1,1,1,891602
Sokoto,Penthouse,9,6,5,2950586
Zamfara,Bungalow,5,7,6,1517206
Adamawa,Apartment,8,5,4,2531804
Plateau,Townhouse,1,3,3,1114361
Ondo,Penthouse,5,4,3,3084680
Bauchi,Flat,6,6,2,2045989
Kogi,Terrace duplex,8,6,5,2644505
Ogun,Terrace duplex,4,1,4,2371327
Imo,Apartment,3,1,3,1262212
Kogi,Apartment,2,5,2,1201468
Akwa Ibom,Flat,4,2,2,2056344
Bayelsa,Detached duplex,7,7,3,4140033
Akwa Ibom,Mansion,7,6,4,5175741
Borno,Flat,5,1,4,1485513
Osun,Penthouse,3,1,4,2061626
Borno,Semi-detached duplex,2,2,1,1231382
Abia,Flat,2,1,1,1213910
Kaduna,Mansion,8,2,6,4605443
Adamawa,Semi-detached duplex,3,2,4,1414388
Gombe,Semi-detached duplex,2,2,4,1362501
Bauchi,Mansion,1,3,1,2394085
Bayelsa,Bungalow,7,2,2,2996032
Gombe,Flat,9,2,4,2535867
Bayelsa,Apartment,5,2,1,2033057
Lagos,Detached duplex,3,2,1,4284896
Enugu,Detached duplex,6,1,5,2816560
Rivers,Detached duplex,5,2,1,3055323
Yobe,Flat,6,6,2,1797394
Bauchi,Mansion,1,3,4,2616067
Sokoto,Detached duplex,7,7,4,2593706
Anambra,Flat,5,1,1,1731441
Ekiti,Terrace duplex,2,6,1,1487500
Imo,Detached duplex,2,1,2,1527423
Yobe,Bungalow,1,2,2,842019
Sokoto,Townhouse,1,6,1,1149702
Benue,Townhouse,5,3,4,1881099
Kano,Bungalow,3,1,2,1221122
Borno,Flat,2,1,1,902296
Zamfara,Bungalow,9,4,6,2179536
Bayelsa,Terrace duplex,4,6,3,2876811
Edo,Penthouse,1,6,4,2031757
Nasarawa,Cottage,3,2,2,1534178
Ebonyi,Apartment,3,1,2,1030667
Kano,Cottage,3,2,2,1228171
Jigawa,Semi-detached duplex,3,6,1,1129006
Niger,Townhouse,1,1,3,1051877
Jigawa,Flat,2,6,1,1034940
Delta,Townhouse,2,1,2,1785289
Delta,Cottage,2,1,1,1496277
Niger,Terrace duplex,1,1,1,1000839
Kano,Flat,7,4,1,2106415
Nasarawa,Apartment,2,2,3,1208074
Taraba,Bungalow,1,1,2,846428
Delta,Penthouse,1,5,4,2430231
Oyo,Detached duplex,6,4,4,2817905
Niger,Flat,1,5,1,994667
Ogun,Apartment,3,2,1,1941347
Sokoto,Apartment,5,3,5,1492487
Enugu,Flat,9,1,3,2768990
Zamfara,Penthouse,6,2,1,2301761
Rivers,Terrace duplex,4,1,1,2339981
Zamfara,Townhouse,3,1,2,1363804
Lagos,Cottage,4,2,4,3720937
Kebbi,Apartment,8,2,4,1915442
Sokoto,Mansion,8,6,5,3789735
Osun,Terrace duplex,7,4,3,2728137
Yobe,Bungalow,4,2,6,1491654
Lagos,Mansion,7,4,5,6720035
Kano,Penthouse,6,6,3,3144355
Lagos,Bungalow,5,1,4,3919368
Delta,Detached duplex,5,6,5,3088135
Ogun,Townhouse,5,4,6,2405982
Borno,Detached duplex,4,4,3,1888866
Jigawa,Semi-detached duplex,5,1,2,1348976
Nasarawa,Terrace duplex,9,7,2,2586756
Jigawa,Terrace duplex,5,1,3,1407652
Ogun,Semi-detached duplex,8,4,1,3282235
Edo,Penthouse,8,7,5,3572511
Yobe,Bungalow,4,4,4,1355838
Kebbi,Mansion,3,2,2,2238476
Ekiti,Semi-detached duplex,3,6,3,1711788
Adamawa,Bungalow,5,1,4,2113695
Benue,Semi-detached duplex,5,1,5,1939623
Yobe,Bungalow,8,1,4,2232457
Ekiti,Terrace duplex,6,3,4,2143274
Kwara,Flat,2,6,3,1180785
Katsina,Penthouse,4,1,2,2134360
Ogun,Detached duplex,4,5,6,2312633
Yobe,Mansion,9,2,5,3958122
Imo,Terrace duplex,6,4,1,2228998
Gombe,Terrace duplex,1,1,4,1102665
Cross River,Semi-detached duplex,9,2,6,3764785
Kebbi,Penthouse,6,3,1,2200088
Ogun,Mansion,5,2,4,5120235
Oyo,Townhouse,4,3,3,2150768
Imo,Semi-detached duplex,8,1,4,2574987
Abia,Cottage,2,2,4,952504
Taraba,Detached duplex,9,7,6,3419694
Enugu,Bungalow,4,2,2,1717706
Abia,Terrace duplex,7,1,4,2371678
Katsina,Terrace duplex,5,5,6,2077744
Katsina,Semi-detached duplex,1,2,2,1159890
Ebonyi,Flat,8,2,5,2243812
Taraba,Cottage,2,1,1,1005691
Oyo,Flat,4,2,2,1712081
Benue,Terrace duplex,5,1,4,1752427
Taraba,Terrace duplex,8,1,5,2444886
Adamawa,Apartment,1,1,4,929900
Akwa Ibom,Bungalow,5,2,3,2406278
Ebonyi,Mansion,3,4,6,2809500
Kwara,Semi-detached duplex,4,3,1,1690363
Akwa Ibom,Cottage,4,2,1,2145429
Kaduna,Detached duplex,8,4,5,2851761
Abia,Bungalow,6,4,4,1564897
Lagos,Townhouse,9,1,1,4335904
Imo,Terrace duplex,6,7,1,2231761
Ekiti,Mansion,3,1,3,2386020
Katsina,Penthouse,2,7,4,1991448
Plateau,Penthouse,9,7,6,3773777
Plateau,Bungalow,1,3,6,975641
Kaduna,Apartment,5,1,3,1561160
Kwara,Terrace duplex,4,5,3,1862070
Ogun,Mansion,5,1,3,5014735
Rivers,Townhouse,4,2,4,2671795
Niger,Bungalow,2,1,2,1053036
Osun,Cottage,3,1,4,1401102
Bayelsa,Terrace duplex,7,4,6,3539879
Niger,Flat,1,1,3,837606
Anambra,Penthouse,5,1,3,2779367
Kano,Flat,7,4,1,2106415
Delta,Detached duplex,7,5,3,3742268
Kogi,Terrace duplex,2,2,4,1117717
Bayelsa,Bungalow,3,3,3,2019055
Enugu,Bungalow,4,1,5,1767499
Ogun,Flat,4,3,4,1963400
Anambra,Penthouse,6,6,6,3222359
Anambra,Townhouse,1,3,5,1810571
Lagos,Detached duplex,2,2,5,3687805
Rivers,Semi-detached duplex,3,4,6,2489999
Osun,Mansion,2,3,6,2580715
Jigawa,Bungalow,6,6,1,1747326
Ekiti,Flat,9,5,3,2817334
Rivers,Mansion,5,4,4,5979473
Ondo,Townhouse,8,2,3,3087585
Ondo,Townhouse,5,3,4,2343105
Cross River,Terrace duplex,8,6,3,3046768
Kano,Mansion,5,2,3,3118655
Enugu,Townhouse,9,1,3,3018438
Ogun,Penthouse,8,5,2,3984150
Delta,Flat,3,2,1,1768989
Benue,Cottage,2,2,3,1163510
Yobe,Bungalow,5,5,2,1479143
Borno,Detached duplex,3,1,4,1717156
Abia,Semi-detached duplex,2,1,3,1108823
Gombe,Mansion,9,7,2,4079806
Gombe,Townhouse,2,5,2,1419138
Cross River,Penthouse,4,1,5,2683117
Kwara,Flat,1,7,6,1410687
Imo,Terrace duplex,1,5,4,1356372
Ekiti,Bungalow,4,3,6,1888782
Kano,Mansion,4,2,3,2954203
Osun,Bungalow,1,3,2,1330898
Oyo,Penthouse,4,1,3,2296370
Delta,Terrace duplex,2,5,2,1930734
Kaduna,Townhouse,9,6,2,2783143
Ogun,Apartment,3,5,2,1722244
Ondo,Townhouse,1,2,2,1455401
Kaduna,Apartment,4,2,1,1396547
Gombe,Flat,4,2,2,1256671
Bayelsa,Flat,8,1,2,3504355
Benue,Semi-detached duplex,1,1,3,1111244
Plateau,Cottage,2,2,2,1121501
Ondo,Detached duplex,2,2,2,1868559
Oyo,Detached duplex,4,7,2,2453504
Ondo,Detached duplex,2,3,1,1500158
Edo,Townhouse,6,3,5,2520332
Oyo,Semi-detached duplex,7,6,3,2992856
Adamawa,Apartment,3,5,4,1551551
Cross River,Semi-detached duplex,2,3,6,1665993
Cross River,Terrace duplex,4,2,3,1996182
Bayelsa,Bungalow,5,2,2,2406097
Gombe,Detached duplex,2,2,2,1386890
Abia,Mansion,4,6,3,3187511
Kano,Penthouse,6,5,2,2955186
Ogun,Apartment,6,4,1,2155759
Borno,Penthouse,2,1,1,1422151
Niger,Semi-detached duplex,1,3,2,1172649
Kwara,Terrace duplex,5,2,6,1809449
Cross River,Townhouse,1,7,4,2002290
Adamawa,Apartment,6,4,6,1660116
Kano,Flat,9,1,2,2640053
Imo,Cottage,4,1,1,1578215
Kogi,Bungalow,1,6,1,1140715
Nasarawa,Penthouse,7,4,6,3258945
Enugu,Apartment,6,1,1,2683820
Akwa Ibom,Flat,5,1,6,3174452
Adamawa,Mansion,2,2,4,1764877
Ekiti,Flat,6,7,2,2165477
Kano,Bungalow,6,7,3,2420431
Imo,Semi-detached duplex,3,1,2,1351985
Akwa Ibom,Terrace duplex,3,1,2,1880606
Adamawa,Townhouse,4,2,3,1571989
Edo,Apartment,3,1,1,1183578
Ebonyi,Townhouse,5,6,2,1751534
Oyo,Terrace duplex,6,5,6,2744372
Benue,Detached duplex,2,1,1,1442179
Kaduna,Townhouse,2,6,6,1671020
Kano,Terrace duplex,3,2,3,1493110
Gombe,Bungalow,2,2,4,1221546
Kano,Mansion,5,3,5,2983330
Yobe,Detached duplex,3,1,4,2029243
Ebonyi,Mansion,9,5,6,4656073
Ebonyi,Mansion,3,4,2,2455223
Ebonyi,Penthouse,8,6,2,3047147
Adamawa,Apartment,2,2,5,1003856
Bauchi,Mansion,1,1,1,1740148
Kaduna,Mansion,8,6,2,4231796
Anambra,Semi-detached duplex,6,1,2,2665096
Kano,Flat,1,2,3,1070142
Kebbi,Mansion,4,3,5,2396461
Sokoto,Townhouse,4,1,3,1407415
Taraba,Flat,5,4,1,1559695
Katsina,Detached duplex,3,5,1,1799905
Ogun,Terrace duplex,5,1,3,2363893
Borno,Flat,2,1,5,1268555
Ogun,Penthouse,1,2,4,2386575
Lagos,Apartment,9,6,5,3490900
Kaduna,Bungalow,1,2,4,878678
Kogi,Townhouse,5,7,4,2095521
Nasarawa,Bungalow,3,2,4,1395430
Kogi,Mansion,1,1,1,2320793
Gombe,Semi-detached duplex,5,1,1,1318724
Imo,Penthouse,9,4,5,3670262
Katsina,Detached duplex,5,5,1,2223895
Anambra,Bungalow,9,1,6,3078564
Akwa Ibom,Townhouse,8,1,3,3850719
Akwa Ibom,Terrace duplex,1,1,6,2021577
Katsina,Penthouse,9,7,1,3242123
Plateau,Flat,2,1,1,1070299
Kebbi,Townhouse,7,4,6,2229197
Bayelsa,Flat,8,1,6,3404976
Plateau,Flat,1,2,4,980812
Edo,Detached duplex,3,7,1,1969859
Kano,Townhouse,2,1,6,1622938
Kwara,Flat,2,2,2,1036736
Lagos,Flat,8,5,5,3972562
Kebbi,Terrace duplex,3,1,3,1063072
Taraba,Penthouse,3,3,2,1804239
Anambra,Cottage,2,1,2,1186280
Kano,Semi-detached duplex,6,6,4,2527905
Borno,Mansion,4,1,1,2267350
Kebbi,Mansion,7,7,6,3251974
Kano,Semi-detached duplex,4,2,2,1704011
Kano,Townhouse,2,1,3,1361301
Oyo,Mansion,5,1,3,3602997
Ekiti,Terrace duplex,3,3,4,1576699
Cross River,Detached duplex,1,5,6,1774962
Katsina,Flat,3,4,3,1453767
Abia,Flat,9,7,4,2229295
Benue,Detached duplex,4,1,4,1945352
Zamfara,Flat,6,1,6,1673860
Niger,Bungalow,5,2,1,1693657
Akwa Ibom,Terrace duplex,1,4,4,1641652
Taraba,Townhouse,5,2,4,1710989
Plateau,Detached duplex,1,4,2,1349487
Akwa Ibom,Detached duplex,1,2,1,2031519
Zamfara,Townhouse,4,2,5,1980296
Adamawa,Bungalow,3,7,2,978852
Osun,Flat,2,2,4,1322102
Borno,Semi-detached duplex,7,7,2,2041970
Oyo,Flat,1,6,6,1503457
Kano,Detached duplex,4,2,3,1940325
Enugu,Bungalow,6,2,1,2084239
Abia,Semi-detached duplex,8,2,2,2298010
Taraba,Penthouse,7,5,5,2705031
Rivers,Semi-detached duplex,2,1,5,2387647
Adamawa,Apartment,4,2,2,1235395
Benue,Terrace duplex,2,2,2,1211198
Niger,Townhouse,5,6,1,2050524
Ogun,Mansion,2,2,4,4045117
Adamawa,Cottage,1,2,1,868787
Niger,Flat,2,1,1,1003555
Kano,Penthouse,1,1,4,1679416
Anambra,Bungalow,3,2,4,1560760
Sokoto,Mansion,5,2,3,2667659
Osun,Semi-detached duplex,2,6,5,1649845
Delta,Townhouse,2,5,6,2498058
Kwara,Detached duplex,4,2,3,1936446
Oyo,Apartment,6,6,3,2206907
Ekiti,Terrace duplex,4,4,5,2095884
Bayelsa,Flat,5,1,2,2973797
Cross River,Semi-detached duplex,3,2,2,1783528
Niger,Semi-detached duplex,3,3,1,1299064
Adamawa,Townhouse,4,1,3,1490264
Edo,Mansion,3,2,3,3025542
Katsina,Terrace duplex,4,4,6,2052088
Jigawa,Mansion,2,3,3,2040993
Jigawa,Apartment,5,4,3,1455115
Imo,Cottage,1,2,2,1043953
Lagos,Apartment,2,1,4,3172773
Zamfara,Detached duplex,2,3,1,1196379
Gombe,Detached duplex,5,4,5,2035504
Niger,Townhouse,5,1,3,1838810
Borno,Penthouse,5,6,5,2551377
Bauchi,Detached duplex,3,2,2,1621190
Kaduna,Detached duplex,7,1,3,2573354
Oyo,Flat,3,1,1,1296073
Plateau,Detached duplex,2,2,1,1404350
Lagos,Semi-detached duplex,6,2,2,3645291
Ekiti,Flat,4,2,1,1287541
Imo,Bungalow,1,2,2,1047170
Ondo,Semi-detached duplex,4,4,6,2408315
Taraba,Flat,5,1,3,1558174
Sokoto,Apartment,4,2,1,1219227
Benue,Townhouse,3,1,2,1553659
Zamfara,Penthouse,7,4,3,2525954
Lagos,Terrace duplex,7,7,6,4235889
Lagos,Townhouse,3,1,2,4320966
Gombe,Detached duplex,9,6,3,3289065
Lagos,Townhouse,4,1,3,4162266
Kebbi,Flat,3,2,1,762910
Ogun,Bungalow,5,4,2,2171358
Delta,Mansion,6,4,2,5293805
Jigawa,Bungalow,5,1,6,1768598
Rivers,Semi-detached duplex,4,5,2,2942109
Kogi,Penthouse,3,2,3,1668490
Kano,Townhouse,8,7,6,2827410
Lagos,Bungalow,1,1,2,2559735
Cross River,Flat,8,6,5,2999859
Rivers,Semi-detached duplex,5,5,5,2880370
Imo,Terrace duplex,6,5,2,2148239
Kwara,Bungalow,9,5,1,2675304
Bauchi,Penthouse,9,2,4,3344735
Yobe,Penthouse,3,6,2,1644089
Ondo,Flat,3,2,6,1688537
Adamawa,Penthouse,7,3,3,3056650
